1	-148.6858159 -157.39718043999997 -199.5946938599999 -213.02162239999987 -206.36469669999988 -208.76534670000007 -168.1020450999999 -147.94124505 -152.02173845 -185.53818043899992
2	-26.9509096 -35.062261840000005 -39.941554200000006 -33.284628500000004 -26.6277028 -65.8936507 -56.255041799999994 -45.5182736 -38.012389505 -29.864106360600005
3	-112.9855991 -134.48565546 -162.64416308999995 -173.08006819999994 -166.42314249999995 -201.64148674 -170.46208420000002 -140.32223184999995 -134.8570419152 -148.72858794407
4	-70.7264746 -71.45854299000001 -101.65602070000003 -99.85388550000002 -93.19695980000002 -131.21869270000005 -106.49032770000001 -86.82079413000002 -81.98710118599999 -92.90611725490001
5	-97.62055539999999 -83.98188234000001 -135.13882925000001 -146.4523654 -139.7954397 -196.9495089300001 -159.3964047 -133.64544360000002 -108.79747805599999 -82.97233972505002
6	-78.97935100000001 -89.60665140000003 -109.96633280000002 -113.16773690000002 -106.51081120000002 -130.51774743000004 -108.09418680000002 -93.52703619999998 -87.35853347999998 -96.21954596635
7	-120.32678470000002 -121.38999176000002 -152.6544227 -161.05393709999998 -159.76621679999997 -205.25614582999998 -173.83366059999997 -147.25170014999995 -130.70172491999998 -116.59319702708997
8	-125.6113229 -160.93443283399998 -180.10912982199994 -186.39391959999992 -179.73699389999993 -229.50322946999995 -190.51371529999997 -162.04967222 -140.50741405000002 -132.95807669742
9	-120.36950790000003 -131.45359836000003 -182.92460169999995 -199.7077709999999 -193.0508452999999 -228.4956106800001 -185.09385040000006 -160.82135804000004 -143.30757271999994 -122.5123713307
10	-37.1990862 -44.372725640000006 -53.25540560000001 -46.59847990000001 -39.941554200000006 -91.42144960000002 -74.94916230000001 -61.94029590000002 -55.39450185000001 -54.11077222509999
11	-92.10705389999998 -93.57578244000001 -109.33828350000003 -128.05074000000002 -133.13851400000001 -181.44717119 -147.80016870000003 -122.97162534000002 -104.16141357999999 -75.04476059786899
12	-72.45562170000002 -75.13126106000001 -91.91099266000002 -100.52856890000002 -99.85388550000002 -115.62512803000004 -97.2177957 -77.65500152000001 -67.34576242619998 -64.87755589844
13	-43.95143959999999 -44.52677116000001 -66.56925700000001 -59.91233130000001 -53.25540560000001 -96.5882316 -78.6351521 -65.72182601 -51.553106850000006 -46.261425639300015
14	-48.793388699999994 -44.855238660000005 -70.14144230000001 -73.22618270000001 -66.56925700000001 -106.72768750000002 -87.30139190000001 -75.47260961 -66.63140535999999 -46.962533264
15	-59.2340058 -65.79965665600001 -76.56380266000001 -73.8220531 -73.22618270000001 -109.34437223000002 -90.4668164 -78.53880596000002 -70.49629976000001 -72.05698048600001
16	-73.8807234 -79.31247270000001 -100.79304970000003 -99.85388550000002 -93.19695980000002 -162.22078732999998 -132.80865500000002 -112.80807674000002 -103.91653294000001 -109.09699179336002
17	-28.3261621 -25.488697259999995 -34.59386459 -34.316674600000006 -33.284628500000004 -50.3769967 -44.91183560000001 -36.36794512 -38.8498721762 -37.038204219600004
18	-98.60107750000002 -87.28750695000001 -116.08167098000003 -141.8571801 -139.7954397 -250.56299419999996 -198.50668329999996 -170.70933562999988 -156.85392809999996 -128.07878382617002
19	-69.5446419 -82.47080786000001 -106.51081120000002 -99.85388550000002 -93.19695980000002 -157.73351290000005 -125.95955620000002 -106.13876454000004 -90.02652417999998 -83.307403483068
20	-81.03873749999998 -89.97856996000002 -99.95855720000003 -113.16773690000002 -106.51081120000002 -235.8611052 -188.61369119999998 -161.00718085999998 -140.95204728 -128.29574888477575
21	-85.53158620000002 -82.49886414000001 -122.37219785000002 -120.89603690000003 -119.82466260000002 -270.3881955 -215.55381200000002 -181.8255546199999 -160.98709527619997 -131.98670651868105
22	-57.53519060000001 -67.07385094000001 -76.29738870000001 -73.22618270000001 -66.56925700000001 -192.41374690000004 -154.00182039999996 -125.36978577000001 -104.41643485599997 -105.16634024980502
23	-132.1997574 -142.77895923999998 -180.17492437999994 -186.39391959999992 -179.73699389999993 -273.13980927999995 -225.53239879999998 -190.91842474999993 -180.58930615119993 -172.29068129576294
24	-91.5678652 -98.45901880000001 -126.48158830000003 -119.82466260000002 -113.16773690000002 -186.25621690000003 -150.93536829999994 -128.76481522 -124.97297339 -138.61592073578
25	-120.8524938 -117.15813155600003 -163.24458567999997 -166.63263978999996 -166.42314249999995 -207.24407413 -168.59591289999992 -144.46935487999997 -118.80448742999998 -122.8538710948
26	-68.15334800000001 -63.519751960000015 -84.56330894000001 -87.52779300000002 -86.54003410000001 -166.4721042 -134.8378149 -110.3766406 -88.02294457720004 -72.77805040081005
27	-81.37636250000001 -76.80969180000001 -96.48218460000001 -114.10464354000003 -113.16773690000002 -220.80933140000005 -175.68629189999996 -148.80683597000004 -122.28294961100002 -80.50759944047502
28	-121.0029001 -109.35976414000001 -160.53838113999996 -173.10714745599995 -173.08006819999994 -209.95848973000008 -169.76661400000006 -139.25943501999996 -116.65573553999998 -118.09395267542999
29	-73.04213000000001 -53.694565919999995 -92.19882336 -113.16773690000002 -106.51081120000002 -159.93672600000008 -129.39420550000006 -105.79531011 -87.3639700762 -70.23035841517951
30	-52.79702960000001 -69.06960010000002 -73.22618270000001 -66.56925700000001 -59.91233130000001 -124.18615220000002 -101.17548570000002 -84.93952200999999 -73.34029197000001 -80.90487924382003
31	-133.1092016 -160.43910157999994 -204.00387015999988 -213.07192842199987 -213.02162239999987 -228.67786736 -193.33791970000001 -162.26945983000002 -144.50005111200002 -152.84222927671547
32	-42.862293199999996 -47.681048940000004 -59.91233130000001 -53.25540560000001 -46.59847990000001 -81.50596073000003 -69.8141542 -57.61103278 -48.427146539999995 -55.60510184175001
33	-31.9868454 -33.95044318 -40.82926570000001 -39.941554200000006 -33.284628500000004 -72.0790321 -59.680458000000016 -49.45245125000001 -42.00032891000001 -37.90006734396
34	-68.7131435 -77.34152735 -94.39775480000002 -93.19695980000002 -86.54003410000001 -194.4828756 -155.99651500000004 -130.73906616000005 -109.50870052000002 -81.16050922463602
35	-27.7836618 -31.992195000000002 -39.941554200000006 -33.284628500000004 -26.6277028 -78.48312010000001 -65.1837404 -54.516914010000015 -43.274674710000006 -31.7040385608395
36	-61.6799909 -73.06132780000002 -88.04988950000002 -93.19695980000002 -86.54003410000001 -121.6933754 -99.23458710000006 -80.99422401999999 -67.46807685000002 -67.66646035257952
37	-92.17801270000001 -106.25691346000002 -131.30479400000002 -139.7954397 -133.13851400000001 -211.04797180000003 -170.10420709999997 -142.07097775000003 -114.56181198000002 -84.73275198413214
38	-102.60637139999999 -99.93836276000003 -144.6956749 -153.10929109999998 -146.4523654 -248.12519439999997 -198.6373428999999 -166.59012619 -136.15080090999996 -111.06984742548555
39	-63.50592640000001 -76.56160295000001 -93.38133829000002 -93.19695980000002 -86.54003410000001 -139.97688500000007 -112.71131130000003 -95.13051046 -90.78867904000002 -113.32372357327702
40	-22.471053 -26.32790906 -33.284628500000004 -26.6277028 -19.9707771 -43.77346700000001 -38.333263099999996 -30.34772685 -28.626928610000007 -29.229065203700003
41	-78.7163209 -85.80046521000001 -107.21497964000002 -106.51081120000002 -99.85388550000002 -175.25397423 -141.25749489999998 -118.35845540000001 -101.740572276 -95.45159335148702
42	-37.496927400000004 -29.957143440000003 -25.857481970000002 -40.591913510000005 -46.59847990000001 -98.67088210000001 -82.16889060000001 -66.09799632 -51.548445106200006 -37.118688915867
43	-38.1351319 -52.355552200000005 -53.25540560000001 -46.59847990000001 -39.941554200000006 -83.34609060000001 -69.76410970000002 -59.49527776 -63.72607761000002 -75.49040172131701
44	-80.56093690000002 -83.71055736000002 -103.07571938000002 -106.95210235000002 -106.51081120000002 -168.70938422999998 -138.44815809999997 -119.50181133999999 -97.81883421 -93.21427713544199
45	-50.771186 -64.16487506000001 -73.22618270000001 -66.56925700000001 -59.91233130000001 -102.76184510000002 -83.68804899999998 -69.25940245999999 -63.29183776 -73.37416757360003
46	-44.8508133 -38.400625860000005 -67.66397780000001 -66.56925700000001 -59.91233130000001 -106.73778500000002 -88.60497140000001 -70.01719136000001 -60.320756116200016 -49.76463649955761
47	-54.2507431 -55.465948960000006 -73.77230513 -73.22618270000001 -66.56925700000001 -128.42061090000004 -103.56287870000001 -87.42843649000001 -72.26217823 -62.649833995099996
48	-81.6520946 -87.3989992 -115.31769030000002 -113.16773690000002 -106.51081120000002 -142.01904760000008 -116.05089640000001 -96.85457513000001 -82.11436970999998 -95.29087432120001
49	-42.77686069999999 -51.49878686000001 -59.91233130000001 -53.25540560000001 -46.59847990000001 -98.3206645 -82.05249760000001 -64.73556111999999 -52.55781901620001 -65.86207871465
50	-86.1331265 -109.94403386000002 -126.48158830000003 -119.82466260000002 -113.16773690000002 -228.52458440000004 -183.61412379999993 -156.35837916999995 -127.88360038999994 -100.23158820821003
51	-56.3594745 -55.2666667 -72.45030976000001 -86.54003410000001 -79.88310840000001 -126.15124670000006 -103.28762630000003 -88.79131142999998 -73.76389413000003 -51.5008935433
52	-62.997295499999986 -74.45540860000001 -89.06209310000001 -93.19695980000002 -86.54003410000001 -111.39228889000003 -93.7215812 -78.90687129000001 -74.00006395999999 -61.569768222600025
53	-27.9592676 -33.21889214 -33.937364800000005 -33.284628500000004 -26.6277028 -57.2299972 -49.90135790000001 -38.90808362 -29.874394560000006 -27.773920442830004
54	-59.7551455 -67.14576870000002 -89.43819050000002 -86.54003410000001 -79.88310840000001 -126.54255373000007 -103.81044270000001 -89.47167499999999 -83.78777952 -85.7973543306
55	-41.246326 -23.502928059999995 -30.104119770000004 -38.81306106 -40.307072211000005 -87.5594911 -73.1272974 -57.41507901999999 -48.775162466200015 -29.62653824795001
56	-51.1176622 -52.866664140000005 -52.67478640000001 -60.93403096000001 -61.41435730000001 -113.99227890000002 -94.92382789999999 -77.44451807 -60.756108720000015 -52.81922304160001
57	-64.8789401 -71.91851144000002 -88.28486470000001 -93.19695980000002 -86.54003410000001 -148.70916410000004 -120.62812790000001 -97.22927294000003 -82.89664321000002 -72.40111762186001
58	-82.3973728 -85.56748410000002 -114.14080293000002 -113.16773690000002 -106.51081120000002 -178.87221639999999 -144.40608259999996 -122.09092822000001 -104.50604305999998 -106.50465311560762
59	-63.21984700000001 -75.91553594000001 -82.88753130000002 -86.54003410000001 -79.88310840000001 -151.71641646000006 -127.26475659999996 -108.36986983999999 -104.8690057 -115.61842512440998
60	-26.9067498 -21.63060581 -31.172453970000007 -39.941554200000006 -33.284628500000004 -52.51044590000001 -44.61301760000001 -34.88415783 -29.127061370000007 -34.84032181545001
61	-26.786049 -34.59121994 -39.941554200000006 -33.284628500000004 -26.6277028 -61.064340900000005 -51.89580010000001 -43.898957300000006 -37.22670146 -29.5895282106
62	-47.434796999999996 -49.39420187000001 -59.91233130000001 -53.25540560000001 -46.59847990000001 -135.5944368300001 -112.9011732 -92.89079724000003 -77.457276094 -50.902011459923
63	-82.33963189999999 -92.18099046000003 -123.67717690000003 -126.48158830000003 -119.82466260000002 -179.10708996000005 -148.60122949999993 -127.86238018999994 -111.22009093 -117.773661178031
64	-75.5520904 -63.55704720000001 -88.21110415000001 -114.34743590000002 -113.16773690000002 -213.83526360000008 -170.08298139999997 -140.09766651 -112.958102594 -80.18325382412002
65	-59.01433620000001 -79.28758927000003 -86.54003410000001 -79.88310840000001 -73.22618270000001 -118.13906283000004 -98.74456130000002 -82.92861153999999 -75.72113952 -85.91774469750004
66	-55.9359074 -78.16566360000002 -79.88310840000001 -73.22618270000001 -66.56925700000001 -130.58297199 -107.30026570000001 -89.24871945000001 -77.365471494 -70.7849808990755
67	-58.103913899999995 -64.87801660000001 -76.76155120000001 -75.60827830000001 -73.22618270000001 -139.6887686 -113.96292970000002 -95.68667172 -81.56839610999998 -66.99786951612
68	-126.52886439999999 -141.30416034 -181.70036499999995 -186.39391959999992 -179.73699389999993 -249.32803163000003 -199.7041293 -172.2087986399999 -152.02522051 -142.70563713329003
69	-34.0595416 -37.75796006 -42.87796569000001 -46.59847990000001 -39.941554200000006 -76.47460503000002 -66.7127768 -51.64543632 -45.64135365620001 -44.70302222530001
70	-93.1178897 -87.10643626 -132.65758950000003 -140.67868255000002 -139.7954397 -185.33611480000002 -150.1423039 -126.86907506000001 -113.23362529000005 -108.87684466055204
71	-109.00741250000002 -120.81318894000005 -161.08883339999997 -167.92307418999997 -173.08006819999994 -181.59278136000006 -149.8056043 -123.21128220999998 -107.76260363000003 -98.339091004042
72	-24.519888599999998 -23.84612808 -28.1375582 -33.284628500000004 -26.6277028 -50.41007150000001 -43.86724590000001 -35.23224336 -28.654428790000004 -24.4122056148
73	-45.855104999999995 -43.44481548 -64.29945649000001 -73.22618270000001 -66.56925700000001 -102.02499230000002 -85.70596830000001 -68.83064432 -59.225794886200006 -59.48734627890001
74	-55.35936799999999 -65.17721669600002 -79.88310840000001 -73.22618270000001 -66.56925700000001 -117.71755480000003 -96.01002120000001 -80.98634625999999 -70.68050302000002 -70.21629401275001
75	-126.039473 -108.95537159 -166.04039256999994 -190.0343815999999 -199.7077709999999 -266.9419341000001 -213.13310399999995 -172.91492278 -138.42359211599998 -129.81080356788402
76	-91.39052879999998 -99.58200396000004 -133.59069638000003 -133.13851400000001 -126.48158830000003 -169.38416610000004 -137.5913189 -111.22545621 -100.80122525399999 -92.58431724683402
77	-89.71949150000002 -73.68635510000001 -111.62415168000003 -146.4523654 -139.7954397 -172.62487152999998 -140.77899950000003 -120.75737366000003 -102.62204372000001 -89.1495732148
78	-125.39492099999998 -130.00330446000004 -165.06215459999996 -176.30711622999993 -175.81885349999993 -197.01246910000003 -159.72863679999998 -148.67016145999995 -154.943301805 -159.0825735615
79	-75.1753175 -80.3664332 -101.67608980000003 -119.82466260000002 -113.16773690000002 -175.98254630000008 -140.51061769999998 -119.99330780000001 -103.24186978999998 -98.73871195999
80	-58.4701996 -51.74728613999999 -70.77705672 -82.01998190000002 -79.88310840000001 -126.72509870000005 -101.97966110000002 -83.92409657 -68.709696372 -62.927975454370014
81	-69.55499900000001 -78.23260856000002 -94.11505294000003 -93.19695980000002 -86.54003410000001 -122.25022143000002 -102.55508019999999 -88.44457855 -86.72968285000002 -102.34129732227953
82	-77.2355194 -108.46463966000003 -119.82466260000002 -113.16773690000002 -106.51081120000002 -121.24950380000003 -109.53933150000002 -95.64740276 -94.7512222 -96.90377271493251
83	-24.001690999999997 -24.319137183 -28.9648794 -26.6277028 -19.9707771 -69.69481809999998 -59.644913800000005 -51.21495822000001 -51.355091849999994 -42.97267108021951
84	-17.486781 -20.7345498 -19.9707771 -13.3138514 -6.6569257 -58.8482251 -50.91693370000001 -43.34828705 -41.212908170000006 -35.15585408929
85	-45.8428905 -50.194976430000004 -55.49255435000001 -59.91233130000001 -53.25540560000001 -92.31737169000003 -78.03576540000002 -67.02097203000001 -56.25455411000001 -57.64723302487952
86	-28.2057306 -40.35486926000001 -39.941554200000006 -33.284628500000004 -26.6277028 -69.3823526 -59.174992500000016 -47.90170636 -42.26662634 -40.46975754012
