1	-8.052176099999999 -10.0519594 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
2	-16.744467099999998 -16.777981099999998 -12.862295069999998 -11.331231559999999 -9.490089106 -8.553299416622 -8.5532712 -4.2766356 -4.2766356 -4.2766356
3	-16.872072699999997 -16.404019899999998 -13.7758511 -12.28442755 -8.951690039999999 -8.564662053 -8.5532712 -4.2766356 -4.2766356 -4.2766356
4	-10.171123499999998 -11.348404899999998 -9.166173699999998 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
5	-12.5392487 -13.1979331 -10.306054499999998 -9.11122 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
6	-12.3488831 -13.4281568 -10.751758639999998 -8.863661579999999 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
7	-12.5392487 -13.1979331 -10.306054499999998 -9.11122 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
8	-21.237558299999996 -20.000320799999997 -16.3920911 -14.807033149999999 -11.50701844 -10.632612413 -9.960344929999998 -9.0825374 -8.5532712 -4.2766356
9	-12.3982604 -13.209853199999998 -10.700556769999999 -9.74321 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
10	-24.014873899999998 -23.554060099999997 -22.594477599999998 -22.058843659999997 -24.094290849999997 -25.659813599999996 -21.383177999999997 -17.1065424 -12.8299068 -8.5532712
11	-15.015948800000002 -15.5220141 -12.3959242 -10.53109826 -8.903797599999999 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356
12	-10.4880671 -12.948888799999999 -11.499436 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
13	-12.6196499 -13.8362692 -10.783082799999999 -11.3896901 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
14	-8.2247495 -10.8247258 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
15	-27.4943396 -25.511650699999997 -20.54507146 -17.94229106 -14.47015322 -13.280263769999998 -11.59268131 -10.09103791 -9.075698299999999 -8.570657665599999
16	-14.621598099999998 -14.924551099999999 -11.9677717 -10.739202299999999 -8.660351799999999 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356
17	-12.5392487 -13.1979331 -10.306054499999998 -9.11122 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
18	-14.537154499999998 -15.431357899999998 -11.727220069999998 -9.316503169999999 -8.553303558665 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356
19	-12.4596621 -14.106915899999997 -10.050400669999998 -8.9848021 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
20	-10.3621497 -12.1328389 -10.5367922 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
21	-25.4365468 -23.4375486 -20.406620099999998 -17.99771736 -12.215521433 -10.4881652856 -9.436395589699998 -8.630841398 -8.559762415149999 -8.55334772567
22	-16.7879439 -17.0185296 -13.224620269999999 -11.05520406 -8.748445749999998 -8.553292659998998 -8.5532712 -4.2766356 -4.2766356 -4.2766356
23	-12.554448299999999 -13.317312099999999 -10.07294396 -8.620707329999998 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
24	-12.5392487 -13.1979331 -10.306054499999998 -9.11122 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
25	-16.872072699999997 -16.404019899999998 -13.7758511 -12.28442755 -8.951690039999999 -8.564662053 -8.5532712 -4.2766356 -4.2766356 -4.2766356
26	-10.2141121 -11.736495699999999 -9.1043574 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
27	-8.052176099999999 -10.0519594 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
28	-16.7879439 -17.0185296 -13.224620269999999 -11.05520406 -8.748445749999998 -8.553292659998998 -8.5532712 -4.2766356 -4.2766356 -4.2766356
29	-19.0204547 -18.054476599999997 -15.125773099999996 -13.687463439999998 -10.766890109999999 -10.1491301 -9.4467292 -8.5532712 -4.2766356 -4.2766356
30	-12.3488831 -13.4281568 -10.751758639999998 -8.863661579999999 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
31	-10.171123499999998 -11.348404899999998 -9.166173699999998 -8.5532712 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356 -4.2766356
